player,salary,adj_salary,year_start,year_end,date,inflation_rate_percent,multiplier,adj_salary_audit,audit_delta
Benoit Benjamin,1750000.0,3473015.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,3466435.7059945944,-6579.2940054056235
Kevin Johnson,1750000.0,3473015.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,3466435.7059945944,-6579.2940054056235
Kevin Duckworth,1710000.0,3393632.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,3387202.889857575,-6429.110142425168
Alton Lister,1700000.0,3373786.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,3367394.68582332,-6391.3141766800545
Gary Payton,1685000.0,3344018.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,3337682.3797719376,-6335.620228062384
Mahmoud Abdul-Rauf,1660000.0,3294403.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,3288161.869686301,-6241.130313699134
Mike Gminski,1650000.0,3274557.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,3268353.665652046,-6203.33434795402
Rolando Blackman,1650000.0,3274557.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,3268353.665652046,-6203.33434795402
James Worthy,1600000.0,3175328.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,3169312.645480772,-6015.354519227985
Alec Kessler,1600000.0,3175328.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,3169312.645480772,-6015.354519227985
Jack Sikma,1600000.0,3175328.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,3169312.645480772,-6015.354519227985
Bernard King,1600000.0,3175328.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,3169312.645480772,-6015.354519227985
Dennis Scott,1560000.0,3095945.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,3090079.8293437525,-5865.17065624753
Jon Koncak,1550000.0,3076099.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,3070271.6253094976,-5827.374690502416
Glen Rice,1550000.0,3076099.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,3070271.6253094976,-5827.374690502416
Buck Williams,1550000.0,3076099.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,3070271.6253094976,-5827.374690502416
Derek Harper,1519000.0,3014577.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,3008866.192803308,-5710.807196692098
Fat Lever,1519000.0,3014577.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,3008866.192803308,-5710.807196692098
Bill Laimbeer,1510000.0,2996716.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2991038.8091724785,-5677.1908275214955
Larry Bird,1500000.0,2976870.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2971230.6051382236,-5639.394861776382
Kendall Gill,1500000.0,2976870.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2971230.6051382236,-5639.394861776382
Alex English,1500000.0,2976870.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2971230.6051382236,-5639.394861776382
Danny Schayes,1500000.0,2976870.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2971230.6051382236,-5639.394861776382
Johnny Dawkins,1500000.0,2976870.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2971230.6051382236,-5639.394861776382
Kevin McHale,1400000.0,2778412.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2773148.564795675,-5263.435204324778
Mark Price,1400000.0,2778412.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2773148.564795675,-5263.435204324778
Vinnie Johnson,1400000.0,2778412.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2773148.564795675,-5263.435204324778
Sleepy Floyd,1400000.0,2778412.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2773148.564795675,-5263.435204324778
Xavier McDaniel,1400000.0,2778412.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2773148.564795675,-5263.435204324778
Greg Anderson,1365000.0,2708952.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2703819.8506757836,-5132.149324216414
Ron Harper,1365000.0,2708952.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2703819.8506757836,-5132.149324216414
Rik Smits,1350000.0,2679183.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2674107.5446244013,-5075.455375598744
Rick Mahorn,1330000.0,2639491.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2634491.1365558915,-4999.863444108516
Brad Daugherty,1320000.0,2619646.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2614682.9325216366,-4963.067478363402
Manute Bol,1300000.0,2579954.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2575066.5244531273,-4887.475546872709
Brad Lohaus,1275000.0,2530340.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2525546.01436749,-4793.9856325099245
Sarunas Marciulionis,1270000.0,2520417.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2515641.9123503626,-4775.087649637368
Larry Nance,1260000.0,2500571.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2495833.7083161077,-4737.291683892254
Roy Hinson,1250000.0,2480725.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2476025.504281853,-4699.49571814714
J.R. Reid,1250000.0,2480725.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2476025.504281853,-4699.49571814714
Dale Ellis,1250000.0,2480725.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2476025.504281853,-4699.49571814714
Jim Petersen,1235000.0,2450956.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2446313.1982304705,-4642.801769529469
Brian Shaw,1212000.0,2405311.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2400754.3289516848,-4556.671048315242
Drazen Petrovic,1200000.0,2381496.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2376984.484110579,-4511.515889421105
Johnny Newman,1200000.0,2381496.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2376984.484110579,-4511.515889421105
Tony Campbell,1200000.0,2381496.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2376984.484110579,-4511.515889421105
Armen Gilliam,1200000.0,2381496.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2376984.484110579,-4511.515889421105
Clyde Drexler,1180000.0,2341804.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2337368.076042069,-4435.923957930878
Detlef Schrempf,1160000.0,2302113.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2297751.6679735593,-4361.33202644065
Randy Breuer,1150000.0,2282267.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2277943.463939305,-4323.536060695071
Mark Aguirre,1115000.0,2212807.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2208614.749819413,-4192.2501805871725
Bill Cartwright,1100000.0,2183038.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2178902.4437680305,-4135.556231969502
Byron Scott,1100000.0,2183038.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2178902.4437680305,-4135.556231969502
Ricky Pierce,1100000.0,2183038.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2178902.4437680305,-4135.556231969502
Jeff Hornacek,1100000.0,2183038.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2178902.4437680305,-4135.556231969502
Wayne Cooper,1100000.0,2183038.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2178902.4437680305,-4135.556231969502
Terry Catledge,1085000.0,2153269.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2149190.137716648,-4078.862283351831
Felton Spencer,1070000.0,2123501.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2119477.8316652663,-4023.168334733695
Ken Norman,1050000.0,2083809.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2079861.4235967565,-3947.576403243467
Charles Oakley,1050000.0,2083809.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2079861.4235967565,-3947.576403243467
Joe Dumars,1035000.0,2054040.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2050149.1175453742,-3890.8824546257965
Kiki Vandeweghe,1025000.0,2034194.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,2030340.9135111196,-3853.08648888045
Kelly Tripucka,1000000.0,1984580.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1980820.4034254823,-3759.5965745176654
Horace Grant,1000000.0,1984580.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1980820.4034254823,-3759.5965745176654
Stacey King,1000000.0,1984580.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1980820.4034254823,-3759.5965745176654
Herb Williams,1000000.0,1984580.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1980820.4034254823,-3759.5965745176654
Tyrone Hill,1000000.0,1984580.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1980820.4034254823,-3759.5965745176654
Charles Smith,1000000.0,1984580.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1980820.4034254823,-3759.5965745176654
Maurice Cheeks,1000000.0,1984580.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1980820.4034254823,-3759.5965745176654
Eddie Johnson,1000000.0,1984580.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1980820.4034254823,-3759.5965745176654
Hersey Hawkins,1000000.0,1984580.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1980820.4034254823,-3759.5965745176654
Thurl Bailey,1000000.0,1984580.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1980820.4034254823,-3759.5965745176654
John Williams,1000000.0,1984580.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1980820.4034254823,-3759.5965745176654
Joe Wolf,990000.0,1964734.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1961012.1993912274,-3721.8006087725516
Rodney McCray,985000.0,1954811.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1951108.0973741002,-3702.902625899762
Sam Vincent,980000.0,1944888.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1941203.9953569728,-3684.004643027205
Derrick McKey,962000.0,1909166.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1905549.228095314,-3616.771904686
Chris Dudley,950000.0,1885351.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1881779.3832542084,-3571.616745791631
Bo Kimble,950000.0,1885351.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1881779.3832542084,-3571.616745791631
George McCloud,940000.0,1865505.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1861971.1792199535,-3533.820780046517
James Edwards,935000.0,1855582.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1852067.077202826,-3514.92279717396
Lionel Simmons,930000.0,1845659.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1842162.9751856986,-3496.0248143014032
Craig Ehlo,925000.0,1835736.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1832258.8731685712,-3477.1268314288463
Dennis Hopson,915000.0,1815891.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1812450.6691343163,-3440.3308656837326
Jeff Malone,915000.0,1815891.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1812450.6691343163,-3440.3308656837326
Michael Cage,910000.0,1805968.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1802546.567117189,-3421.432882810943
Frank Brickowski,905000.0,1796045.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1792642.4651000616,-3402.534899938386
Dell Curry,900000.0,1786122.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1782738.3630829342,-3383.636917065829
Lester Conner,900000.0,1786122.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1782738.3630829342,-3383.636917065829
Kurt Rambis,900000.0,1786122.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1782738.3630829342,-3383.636917065829
Walter Davis,900000.0,1786122.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1782738.3630829342,-3383.636917065829
Paul Pressey,900000.0,1786122.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1782738.3630829342,-3383.636917065829
Doc Rivers,895000.0,1776199.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1772834.2610658067,-3364.738934193272
James Donaldson,880000.0,1746430.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1743121.9550144244,-3308.0449855756015
Dennis Rodman,880000.0,1746430.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1743121.9550144244,-3308.0449855756015
Kenny Walker,875000.0,1736507.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1733217.8529972972,-3289.1470027028117
Mark West,875000.0,1736507.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1733217.8529972972,-3289.1470027028117
Alvin Robertson,870000.0,1726584.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1723313.7509801697,-3270.249019830255
Joe Kleine,850000.0,1686893.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1683697.34291166,-3195.6570883400273
William Bedford,850000.0,1686893.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1683697.34291166,-3195.6570883400273
Mitch Richmond,850000.0,1686893.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1683697.34291166,-3195.6570883400273
Darrell Griffith,850000.0,1686893.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1683697.34291166,-3195.6570883400273
Sidney Green,837000.0,1661093.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1657946.6776671289,-3146.3223328711465
Trent Tucker,835000.0,1657124.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1653985.0368602779,-3138.9631397221237
Tyrone Corbin,830000.0,1647201.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1644080.9348431504,-3120.065156849567
Michael Adams,825000.0,1637278.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1634176.832826023,-3101.16717397701
Loy Vaught,825000.0,1637278.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1634176.832826023,-3101.16717397701
Muggsy Bogues,805000.0,1597587.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1594560.4247575132,-3026.5752424867824
Orlando Woolridge,805000.0,1597587.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1594560.4247575132,-3026.5752424867824
Rumeal Robinson,800000.0,1587664.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1584656.322740386,-3007.6772596139926
Tree Rollins,800000.0,1587664.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1584656.322740386,-3007.6772596139926
Larry Smith,800000.0,1587664.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1584656.322740386,-3007.6772596139926
Travis Mays,800000.0,1587664.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1584656.322740386,-3007.6772596139926
Tom Hammonds,800000.0,1587664.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1584656.322740386,-3007.6772596139926
Tim McCormick,775000.0,1538049.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1535135.8126547488,-2913.187345251208
Vlade Divac,770000.0,1528126.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1525231.7106376213,-2894.2893623786513
Reggie Theus,765000.0,1518204.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1515327.608620494,-2876.3913795060944
Scottie Pippen,765000.0,1518204.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1515327.608620494,-2876.3913795060944
Roy Tarpley,765000.0,1518204.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1515327.608620494,-2876.3913795060944
Mike Sanders,760000.0,1508281.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1505423.5066033667,-2857.4933966333047
Rony Seikaly,755000.0,1498358.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1495519.4045862393,-2838.5954137607478
Ed Pinckney,750000.0,1488435.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1485615.3025691118,-2819.697430888191
Chris Morris,750000.0,1488435.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1485615.3025691118,-2819.697430888191
Cliff Levingston,750000.0,1488435.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1485615.3025691118,-2819.697430888191
David Wingate,750000.0,1488435.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1485615.3025691118,-2819.697430888191
Randy White,730000.0,1448743.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1445998.894500602,-2744.1054993979633
Gerald Wilkins,725000.0,1438820.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1436094.7924834748,-2725.2075165251736
Nick Anderson,725000.0,1438820.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1436094.7924834748,-2725.2075165251736
Danny Ainge,725000.0,1438820.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1436094.7924834748,-2725.2075165251736
Willie Anderson,725000.0,1438820.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1436094.7924834748,-2725.2075165251736
Kenny Smith,700000.0,1389206.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1386574.2823978376,-2631.717602162389
Bill Wennington,700000.0,1389206.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1386574.2823978376,-2631.717602162389
Fred Roberts,690000.0,1369360.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1366766.078363583,-2593.9216364170425
Kevin Willis,685000.0,1359437.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1356861.9763464555,-2575.0236535444856
Rex Chapman,675000.0,1339591.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1337053.7723122006,-2537.227687799372
Buck Johnson,675000.0,1339591.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1337053.7723122006,-2537.227687799372
Tim Perry,675000.0,1339591.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1337053.7723122006,-2537.227687799372
Charles Jones,675000.0,1339591.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1337053.7723122006,-2537.227687799372
Vern Fleming,667000.0,1323715.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1321207.2090847967,-2507.7909152032807
Nate McMillan,658000.0,1305853.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1303379.8254539673,-2473.1745460326783
Reggie Miller,654000.0,1297915.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1295456.5438402654,-2458.456159734633
Alexander Volkov,650000.0,1289977.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1287533.2622265636,-2443.7377734363545
Dave Jamerson,650000.0,1289977.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1287533.2622265636,-2443.7377734363545
Jay Humphries,650000.0,1289977.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1287533.2622265636,-2443.7377734363545
Sedale Threatt,650000.0,1289977.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1287533.2622265636,-2443.7377734363545
Duane Causwell,650000.0,1289977.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1287533.2622265636,-2443.7377734363545
Dave Greenwood,650000.0,1289977.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1287533.2622265636,-2443.7377734363545
Mike Brown,650000.0,1289977.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1287533.2622265636,-2443.7377734363545
Chucky Brown,630000.0,1250285.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1247916.8541580539,-2368.145841946127
Mychal Thompson,615000.0,1220516.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1218204.5481066718,-2311.4518933282234
Pooh Richardson,615000.0,1220516.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1218204.5481066718,-2311.4518933282234
Antoine Carr,610000.0,1210594.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1208300.4460895443,-2293.5539104556665
Darrell Walker,610000.0,1210594.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1208300.4460895443,-2293.5539104556665
Jeff Grayer,605000.0,1200671.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1198396.344072417,-2274.6559275831096
Larry Krystkowiak,605000.0,1200671.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1198396.344072417,-2274.6559275831096
Ledell Eackles,605000.0,1200671.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1198396.344072417,-2274.6559275831096
Terry Mills,600000.0,1190748.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1188492.2420552894,-2255.7579447105527
Craig Hodges,600000.0,1190748.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1188492.2420552894,-2255.7579447105527
Brad Davis,600000.0,1190748.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1188492.2420552894,-2255.7579447105527
Olden Polynice,600000.0,1190748.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1188492.2420552894,-2255.7579447105527
Andrew Lang,600000.0,1190748.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1188492.2420552894,-2255.7579447105527
John Battle,590000.0,1170902.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1168684.0380210346,-2217.961978965439
Tod Murphy,590000.0,1170902.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1168684.0380210346,-2217.961978965439
John Salley,575000.0,1141133.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1138971.7319696525,-2161.2680303475354
Elden Campbell,575000.0,1141133.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1138971.7319696525,-2161.2680303475354
Gerald Glass,575000.0,1141133.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1138971.7319696525,-2161.2680303475354
Todd Lichti,565000.0,1121287.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1119163.5279353976,-2123.4720646024216
Jerrod Mustaf,565000.0,1121287.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1119163.5279353976,-2123.4720646024216
John Bagley,550000.0,1091519.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1089451.2218840152,-2067.778115984751
Larry Drew,550000.0,1091519.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1089451.2218840152,-2067.778115984751
Terry Teagle,550000.0,1091519.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1089451.2218840152,-2067.778115984751
Ed Nealy,550000.0,1091519.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1089451.2218840152,-2067.778115984751
Jerome Kersey,550000.0,1091519.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1089451.2218840152,-2067.778115984751
Bob Hansen,550000.0,1091519.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1089451.2218840152,-2067.778115984751
Steve Kerr,548000.0,1087550.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1085489.5810771643,-2060.418922835728
Dee Brown,547000.0,1085565.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1083508.7606737388,-2056.239326261217
Gary Grant,530000.0,1051827.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1049834.8138155057,-1992.1861844942905
Michael Smith,525000.0,1041904.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1039930.7117983783,-1973.2882016217336
Mookie Blaylock,525000.0,1041904.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1039930.7117983783,-1973.2882016217336
Derrick Chievous,525000.0,1041904.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,1039930.7117983783,-1973.2882016217336
